freq,real,imag
34000,2435,-5444
34100,2437,-5439
34200,2449,-5436
34300,2455,-5432
34400,2462,-5432
34500,2469,-5425
34600,2475,-5421
34700,2482,-5418
34800,2490,-5413
34900,2493,-5412
35000,2500,-5412
35100,2508,-5406
35200,2517,-5404
35300,2524,-5403
35400,2529,-5401
35500,2540,-5396
35600,2546,-5392
35700,2555,-5389
35800,2560,-5381
35900,2565,-5378
36000,2571,-5373
36100,2576,-5372
36200,2583,-5367
36300,2590,-5366
36400,2596,-5361
36500,2601,-5357
36600,2609,-5355
36700,2615,-5354
36800,2622,-5349
36900,2625,-5343
37000,2640,-5344
37100,2641,-5339
37200,2648,-5341
37300,2657,-5334
37400,2663,-5331
37500,2671,-5330
37600,2677,-5323
37700,2680,-5316
37800,2690,-5317
37900,2699,-5309
38000,2704,-5307
38100,2709,-5301
38200,2714,-5299
38300,2720,-5298
38400,2729,-5293
38500,2734,-5290
38600,2743,-5287
38700,2744,-5285
38800,2755,-5281
38900,2759,-5276
39000,2769,-5274
39100,2775,-5270
39200,2780,-5264
39300,2787,-5264
39400,2795,-5262
39500,2802,-5256
39600,2808,-5252
39700,2815,-5250
39800,2823,-5243
39900,2828,-5239
40000,2834,-5236
40100,2846,-5234
40200,2847,-5228
40300,2856,-5223
40400,2864,-5222
40500,2867,-5219
40600,2874,-5215
40700,2880,-5211
40800,2887,-5209
40900,2894,-5205
41000,2893,-5205
41100,2904,-5195
41200,2914,-5191
41300,2921,-5187
41400,2925,-5186
41500,2933,-5183
41600,2941,-5178
41700,2943,-5174
41800,2949,-5172
41900,2955,-5168
42000,2962,-5166
42100,2970,-5160
42200,2975,-5160
42300,2985,-5154
42400,2988,-5150
42500,2995,-5143
42600,3004,-5142
42700,3009,-5138
42800,3015,-5131
42900,3021,-5127
43000,3029,-5126
43100,3034,-5121
43200,3039,-5118
43300,3047,-5116
43400,3055,-5110
43500,3062,-5108
43600,3070,-5104
43700,3069,-5103
43800,3081,-5094
43900,3089,-5087
44000,3095,-5083
44100,3100,-5079
44200,3105,-5075
44300,3111,-5070
44400,3117,-5070
44500,3123,-5063
44600,3130,-5061
44700,3137,-5059
44800,3141,-5053
44900,3149,-5052
45000,3154,-5045
45100,3151,-5049
45200,3168,-5038
45300,3173,-5038
45400,3180,-5032
45500,3185,-5025
45600,3192,-5021
45700,3202,-5018
45800,3204,-5011
45900,3215,-5010
46000,3223,-5004
46100,3224,-5000
46200,3231,-4994
46300,3234,-4991
46400,3242,-4986
46500,3247,-4979
46600,3255,-4981
46700,3260,-4976
46800,3266,-4971
46900,3271,-4968
47000,3276,-4964
47100,3285,-4962
47200,3292,-4954
47300,3297,-4951
47400,3304,-4951
47500,3310,-4944
47600,3316,-4939
47700,3328,-4936
47800,3332,-4930
47900,3337,-4926
48000,3343,-4920
48100,3350,-4916
48200,3355,-4913
48300,3361,-4903
48400,3368,-4900
48500,3372,-4897
48600,3375,-4893
48700,3381,-4892
48800,3388,-4886
48900,3395,-4882
49000,3404,-4876
49100,3408,-4875
49200,3410,-4874
49300,3419,-4865
49400,3425,-4862
49500,3432,-4856
49600,3437,-4851
49700,3443,-4846
49800,3447,-4843
49900,3456,-4838
50000,3460,-4834
